Player Name,Position,School,Year,Height ,Weight,40 Time,PFF,NFL Draft Buzz,PFN,TANKATHON,Drafttech,CBS,Mel Kiper,Field Yates,Matt Miller,Daniel Jeremiah,Charlie Campbell,Average,Remarks
Fernando Mendoza,QB,Indiana,Junior,6'5,225,4.85,2,4,6,4,1,1,1,1,5,,2,,
Rueben Bain,EDGE,Miami (FL), Junior,6'3,275,4.72,5,1,3,2,3,2,7,13,4,,15,,
Jordyn Tyson,WR,Arizona State,Junior,6'2,200,4.5,7,12,9,6,7,3,9,6,12,,7,,
Carnell Tate,WR,Ohio State,Junior,6'3,195,4.6,8,10,4,5,10,4,3,7,6,,17,,
Arvell Reese,LB,Ohio State,Junior,6'4,243,4.52,3,7,2,1,4,5,4,2,3,,5,,
Caleb Downs,S,Ohio State,Junior,6'0,205,4.45,1,2,1,3,2,6,6,3,2,,4,,
Peter Woods,DL,Clemson,Junior,6'3,315,4.75,9,5,10,10,5,7,16,10,8,,19,,
Jermod McCoy,CB,Tennessee,Junior,6'0,193,4.52,12,9,14,13,9,8,14,14,10,,9,,
Jeremiyah Love,RB,Notre Dame,Junior,6'0,214,4.4,4,3,5,8,8,9,2,5,1,,1,,
Sonny Styles,LB,Ohio State,Senior,6'4,243,4.48,10,32,7,14,24,10,8,8,17,,16,,
Avieon Terrell,CB,Clemson,Junior,5'11,180,4.39,18,16,15,16,14,11,,20,22,,21,,
Keldric Faulk,EDGE,Auburn,Junior,6'6,285,4.74,13,6,16,9,6,12,13,12,15,,8,,
David Bailey,EDGE,Texas Tech,Senior,6'3,250,4.52,6,11,12,7,17,13,5,4,14,,3,,
T.J. Parker,EDGE,Clemson,Junior,6'3,265,4.65,23,14,21,23,15,14,,,24,,61,,
Makai Lemon,WR,USC,Junior,5'11,195,4.48,11,13,8,12,13,15,10,9,16,,32,,
Kevin Concepcion,WR,Texas A&M,Junior,5'11,190,4.46,26,29,20,20,19,16,,,31,,22,,
Kenyon Sadiq,TE,Oregon,Junior,6'3,245,4.55,24,17,13,15,21,17,12,16,11,,10,,
Mansoor Delane,CB,LSU,Senior,6'0,190,4.44,14,8,11,11,11,18,17,11,7,,11,,
Kayden McDonald,DL,Ohio State,Junior,6'3,326,5.15,21,21,17,17,33,19,15,,26,,,,
Jake Golday,LB,Cincinnati,Senior,6'4,240,4.55,37,67,50,44,82,20,,,37,,,,
Emmanuel McNeil-Warren,S,Toledo,Senior,6'2,202,4.52,51,56,33,38,74,21,,,38,,,,
Omar Cooper Jr.,WR,Indiana,Junior,6'0,201,4.49,60,68,53,57,90,22,,,,,,,
Ahmad Moten Sr.,DL,Miami (FL),Senior,6'3,324,,57,,114,96,,23,,,,,,,
Cashius Howell,EDGE,Texas A&M,Senior,6'4,248,4.65,15,19,39,19,16,24,,15,38,,23,,
Ty Simpson,QB,Alabama,Junior,6'2,208,4.8,34,15,23,22,12,25,21,,9,,6,,
C.J. Allen,LB,Georgia,Junior,6'2,235,4.55,28,33,22,21,20,26,18,18,13,,25,,
Keionte Scott,S,Miami (FL),Senior,6'0,192,4.44,54,58,29,52,86,27,,,,,,,
Lee Hunter,DL,Texas Tech,Senior,6'4,325,5.2,53,60,,,79,28,,,,,,,
Denzel Boston,WR,Washington,Junior,6'4,209,4.52,20,18,27,18,18,29,20,17,19,,12,,
Chris Brazzell,WR,Tennessee,Junior,6'5,200,4.48,76,30,45,42,63,30,,,,,,,
Christen Miller,DL,Georgia,Junior,6'4,305,4.9,30,22,25,28,23,31,,,34,,,,
Malachi Fields,WR,Notre Dame,Senior,6'4,223,4.5,100,65,145,89,98,32,,,,,28,,
Anthony Hill Jr.,LB,Texas,Junior,6'3,238,4.5,46,27,48,30,29,33,,,25,,36,,
Akheem Mesidor,EDGE,Miami (FL),Senior,6'3,280,4.9,33,53,47,27,50,34,11,19,,,31,,
Josiah Trotter,LB,Missouri,Sophomore,6'2,237,4.61,62,55,,53,72,35,,,,,,,
Brandon Cisse,CB,South Carolina,Junior,6'0,190,4.35,32,38,37,24,31,36,,,20,,13,,
Romello Height,EDGE,Texas Tech,Junior,6'3,240,4.7,56,28,74,31,25,37,,,,,46,,
Keith Abney II,CB,Arizona State,Junior,6'0,190,4.46,35,39,19,36,46,38,,,,,,,
D'angelo Ponds,CB,Indiana,Junior,5'9,170,4.35,58,90,32,46,36,39,,,,,37,,
Genesis Smith,S,Arizona,Junior,6'2,202,4.5,107,75,44,74,157,40,,,,,,,
Caden Curry,EDGE,Ohio State,Senior,6'3,260,4.78,349,88,113,116,84,41,,,,,,,
Chris Johnson,CB,San Diego State,Senior,6'0,185,4.55,43,41,26,32,57,42,,,,,,,
Max Klare,TE,Ohio State,Junior,6'5,243,4.7,71,50,28,55,61,43,,,,,49,,
Colton Hood,CB,Tennessee,Sophomore,6'0,195,4.43,29,25,24,26,30,44,,,21,,,,
Julian Neal,CB,Arkansas,Senior, 6'2,200,4.58,87,63,55,58,81,45,,,,,,,
Jaishawn Barham,LB,Michigan,Senior,6'3,243,4.55,,96,65,85,111,46,,,,,,,
Jadarian Price,RB,Notre Dame,Junior,5'11,209,4.44,61,52,101,64,91,47,,,36,,27,,
Ja'Kobi Lane,WR,USC,Junior,6'4,200,4.55,70,57,60,47,44,48,,,,,39,,
Brenen Thompson,WR,Mississippi State,Senior,5'9,170,4.34,175,128,93,110,211,49,,,,,,,
Eli Stowers,TE,Vanderbilt,Senior,6'4,235,4.55,50,54,102,62,36,50,,,,,,,
Chris McClellon,DL,Missouri,Senior,6'4,323,,328,,132,126,149,51,,,,,,,
A.J. Haulcy,S,LSU,Senior,6'0,222,4.55,41,49,43,43,66,52,,,,,,,
Michael Trigg,TE,Baylor,Senior,6'4,240,4.7,75,100,87,67,67,53,,,,,,,
Eric Rivers,WR,Georgia Tech,Senior,5'11,180,4.38,126,105,150,112,108,54,,,,,,,
