Rank,Player Name,Position,College,Year,Height,Weight,40 Time,PFF,PFN,SI,NFL Draft Buzz,Bleacher Report,Athletic,CBS,USA Today,SCOUTD,Mel Kiper,Matt Miller,Daniel Jeremiah,Dane Brugler,Charlie Campbell,Average,Remarks
11,Mansoor Delane,CB,LSU,Senior,6'0,190,4.44,,,,,,,,,,,,,,,
12,Jermod McCoy,CB,Tennessee,Junior,6'0,193,4.52,,,,,,,,,,,,,,,
16,Avieon Terrell,CB,Clemson,Junior,5'11,180,4.39,,,,,,,,,,,,,,,
25,Brandon Cisse,CB,South Carolina,Junior,6'0,190,4.35,,,,,,,,,,,,,,,
26,Colton Hood,CB,Tennessee,Sophomore,6'0,195,4.43,,,,,,,,,,,,,,,
32,Chris Johnson,CB,San Diego State,Senior,6'0,185,4.55,,,,,,,,,,,,,,,
34,Keith Abney II,CB,Arizona State,Junior,6'0,190,4.46,,,,,,,,,,,,,,,
40,TJ Hall,CB,Iowa,,,,,,,,,,,,,,,,,,
53,D'angelo Ponds,CB,Indiana,Junior,5'9,170,4.35,,,,,,,,,,,,,,,
58,Julian Neal,CB,Arkansas,Senior,6'2,200,4.58,,,,,,,,,,,,,,,
59,Malik Muhammad,CB,Texas,Junior,6'0,198,4.47,,,,,,,,,,,,,,,
63,Keionte Scott,CB,Miami (FL),Senior,6'0,192,4.44,,,,,,,,,,,,,,,
64,Devin Moore,CB,Florida,Senior,6'3,198,,,,,,,,,,,,,,,,
74,Will Lee III,CB,Texas A&M,Senior,6'1,189,4.55,,,,,,,,,,,,,,,
75,Chandler Rivers,CB,Duke,Senior,5'10,185,4.45,,,,,,,,,,,,,,,
79,Davison Igbinosun,CB,Ohio State,Senior,6'2,195,4.34,,,,,,,,,,,,,,,
91,Tacario Davis,CB,Washington,Senior,6'4,200,4.51,,,,,,,,,,,,,,,
98,Domani Jackson,CB,Alabama,Senior,6'1,196,4.28,,,,,,,,,,,,,,,
109,Daylen Everette,CB,Georgia,Senior,6'1,190,4.34,,,,,,,,,,,,,,,
112,Treydan Stukes,CB,Arizona,Senior,6'2,200,,,,,,,,,,,,,,,,
118,Hezekiah Masses,CB,California,,,,,,,,,,,,,,,,,,
123,Jermaine Mathews Jr.,CB,Ohio State,Junior,5'11,190,4.38,,,,,,,,,,,,,,,
125,Devon Marshall,CB,NC State,,,,,,,,,,,,,,,,,,
